排名,102,112
1,國立臺灣大學 電機工程學系,國立臺灣大學 電機工程學系
2,國立臺灣大學 材料科學與工程學系,國立陽明交通大學 電機工程學系甲組(電資國際組)
3,國立彰化師範大學 數學系(公費生)-嘉義市,國立清華大學 電機工程學系甲組
4,國立臺灣大學 物理學系,國立臺灣大學 資訊工程學系
5,國立彰化師範大學 數學系(公費生)-臺中市,國立清華大學 電機資訊學院學士班甲組
6,國立臺灣師範大學 數學系(公費生)-嘉義市,國立陽明交通大學 資訊工程學系甲組
7,國立臺灣大學 資訊工程學系,國立陽明交通大學 電機工程學系乙組(電機工程組)
8,國立臺灣大學 工商管理學系科技管理組,國立臺灣大學 國際企業學系A組
9,國立陽明交通大學 資訊管理與財務金融學系資訊管理組,國立陽明交通大學 電機工程學系丙組(醫學電資組)
10,國立臺灣師範大學 數學系(公費生)-桃園縣,國立清華大學 資訊工程學系甲組(電子資訊組)
