排名,112,
1,國立臺灣大學 電機工程學系,
2,"國立陽明交通大學 電機工程學系甲組(電資國際組)",
3,國立清華大學 電機工程學系甲組,
4,"國立臺灣大學 資訊工程學系",
5,國立清華大學 電機資訊學院學士班甲組,
6,國立陽明交通大學 資訊工程學系甲組,
7,國立陽明交通大學 電機工程學系乙組(電機工程組),
8,國立臺灣大學 國際企業學系A組,
9,國立陽明交通大學 電機工程學系丙組(醫學電資組),
10,"國立清華大學 資訊工程學系甲組(電子資訊組)",
