Title,dates
[新聞] 放心「文人部長」顧立雄接任？邱國正分析, 4/17
[新聞] 傳後續潛艦價格高昂 邱國正：計算方式欠, 4/17
[情報] 烏克蘭解散第67機械化旅, 4/17
Re: [新聞] 防解放軍搶灘 官兵提槍快跑衝沙灘實彈射, 4/17
[新聞] 澳洲新國防人力計畫 擬招募非公民入伍, 4/17
[公告] 違規懲處 a40494 Reze, 4/17
[情報] 又一套S-400敗於老ATACMS, 4/17
[提問] 中國第一手把台積電炸了會有多大影響, 4/17
[新聞] 邱國正：國造潛艦便宜行事 易生弊端, 4/17
Re: [情報] 又一套S-400敗於老ATACMS, 4/17
[公告] 違規懲處 nomorefoggy, 4/17
Re: [情報] 情報數則, 4/17
Re: [提問] 中國第一手把台積電炸了會有多大影響, 4/17
[公告] Military 板規7.1, 6/27
