排名,102
1,"國立臺灣大學 電機工程學系"
2,"國立臺灣大學 材料科學與工程學系"
3,"國立彰化師範大學 數學系(公費生)-嘉義市"
4,"國立臺灣大學 物理學系"
5,"國立彰化師範大學 數學系(公費生)-臺中市"
6,"國立臺灣師範大學 數學系(公費生)-嘉義市"
7,"國立臺灣大學 資訊工程學系"
8,"國立臺灣大學 工商管理學系科技管理組"
9,"國立陽明交通大學 資訊管理與財務金融學系資訊管理組"
10,"國立臺灣師範大學 數學系(公費生)-桃園縣"
